category,headline,short_description,content
Health,5 Ways You Can Successfully Keep Up With Your Life,"If you are truly connected to your life in all manner of your existence, you will successfully keep up with your life. Living is a creative expression of what makes you who you are. Think of the joy when everyone sits at the table of life without fear of being judged or labeled, living freely, dancing freely and giving freely.","5 Ways You Can Successfully Keep Up With Your Life If you are truly connected to your life in all manner of your existence, you will successfully keep up with your life. Living is a creative expression of what makes you who you are. Think of the joy when everyone sits at the table of life without fear of being judged or labeled, living freely, dancing freely and giving freely."
Politics,Will Trump's PR Triumph At Carrier Mean The Democratic Party's Demise?,"President-elect Trump scored a remarkable PR victory by saving 1,000 of the 2,100 jobs that Carrier and it’s parent company","Will Trump's PR Triumph At Carrier Mean The Democratic Party's Demise? President-elect Trump scored a remarkable PR victory by saving 1,000 of the 2,100 jobs that Carrier and it’s parent company"
Business,Why Successful CEOs Must Think Like the Janitor,"Thinking like the janitor can have a profound impact on how you are viewed as a leader. This shift in perception can simultaneously increase morale and overall productivity, which leads to an increase in profits.","Why Successful CEOs Must Think Like the Janitor Thinking like the janitor can have a profound impact on how you are viewed as a leader. This shift in perception can simultaneously increase morale and overall productivity, which leads to an increase in profits."
Sports,Fan Catches Foul Ball With Popcorn Bucket (VIDEO),A fan at PNC Park on Friday night snagged a foul ball and lost a lot of popcorn in the process. He seemed pretty happy with,Fan Catches Foul Ball With Popcorn Bucket (VIDEO) A fan at PNC Park on Friday night snagged a foul ball and lost a lot of popcorn in the process. He seemed pretty happy with
Business,5 Reasons The Cover Letter Should Just Die Already,,5 Reasons The Cover Letter Should Just Die Already 
Sports,Stephen A. Smith Appeared To Fall Asleep While Debating Skip Bayless On ESPN's 'First Take' (VIDEO),"Debating Skip Bayless for multiple hours a day can be a wearying, wearying thing. I can't blame for Stephen A. Smith for","Stephen A. Smith Appeared To Fall Asleep While Debating Skip Bayless On ESPN's 'First Take' (VIDEO) Debating Skip Bayless for multiple hours a day can be a wearying, wearying thing. I can't blame for Stephen A. Smith for"
Business,Amazon Sued For Allegedly Selling Defective Eclipse Glasses,"Starting on August 10, Amazon began to email customers to issue a recall of potentially hazardous solar eclipse glasses.","Amazon Sued For Allegedly Selling Defective Eclipse Glasses Starting on August 10, Amazon began to email customers to issue a recall of potentially hazardous solar eclipse glasses."
Health,Video: Start Your Meditation Practice With 60 Seconds,Learning how to center yourself and slow down the mind is an invaluable aspect of health.  Meditation is an excellent tool for learning how to be present.,Video: Start Your Meditation Practice With 60 Seconds Learning how to center yourself and slow down the mind is an invaluable aspect of health.  Meditation is an excellent tool for learning how to be present.
Tech,Game Review: 'Super Mario Maker' Is A DIY Triumph,It'll make you feel like a kid again.,Game Review: 'Super Mario Maker' Is A DIY Triumph It'll make you feel like a kid again.
Tech,"Scientists Scan 100,000 Galaxies But Find No Evidence Of Alien Life",,"Scientists Scan 100,000 Galaxies But Find No Evidence Of Alien Life "
Health,Who Did I Need to Impress?,,Who Did I Need to Impress? 
Business,Why Underwater Homeowners Won't Be Saved By Bank Of America's $17 Billion Deal,,Why Underwater Homeowners Won't Be Saved By Bank Of America's $17 Billion Deal 
Health,Searching for God at the Shopping Center,"Every one of us wants to make an enduring impact in the world. We all want to make a difference. Of course, God is not shopping","Searching for God at the Shopping Center Every one of us wants to make an enduring impact in the world. We all want to make a difference. Of course, God is not shopping"
Sports,"Japanese Gymnast Racks Up A $5,000 Pokémon Go Bill In Rio",Which is particularly strange given that there are no Pokémon in Rio.,"Japanese Gymnast Racks Up A $5,000 Pokémon Go Bill In Rio Which is particularly strange given that there are no Pokémon in Rio."
Politics,Trump Now Claims He Won Wisconsin Since State Court Has Restricted Ballot Drop Boxes,"“This means I won the very closely contested (not actually) Wisconsin presidential race,"" the former president insisted on Truth Social.","Trump Now Claims He Won Wisconsin Since State Court Has Restricted Ballot Drop Boxes “This means I won the very closely contested (not actually) Wisconsin presidential race,"" the former president insisted on Truth Social."
Sports,Fan's Big Belly Behind Botched Field Goal Causes Gut Reaction,This is one way to measure your self-girth.,Fan's Big Belly Behind Botched Field Goal Causes Gut Reaction This is one way to measure your self-girth.
Tech,Watch The Top 9 YouTube Videos Of The Week,"If you're looking to see the most popular YouTube videos of the week, look no further. Once again, we're bringing you the","Watch The Top 9 YouTube Videos Of The Week If you're looking to see the most popular YouTube videos of the week, look no further. Once again, we're bringing you the"
Tech,Keeping Dad Happy and Your Wallet Safe,Two of the top five crimes reported are connected to shopping online: advanced payment scams and non-delivery of auction items.,Keeping Dad Happy and Your Wallet Safe Two of the top five crimes reported are connected to shopping online: advanced payment scams and non-delivery of auction items.
Business,The Employment Racket,"We don't have to quit our jobs en masse to break the logjam and get human energy moving at work. We only have to notice the albatross on the table and say something about it. We only have to bring ourselves to work, a little at a time.","The Employment Racket We don't have to quit our jobs en masse to break the logjam and get human energy moving at work. We only have to notice the albatross on the table and say something about it. We only have to bring ourselves to work, a little at a time."
Tech,Why Some People In The U.S. Still Don't Have Internet Access,Hint: Economics,Why Some People In The U.S. Still Don't Have Internet Access Hint: Economics
Business,The First Insider Trader in Commodities,"Those interested in insider trading should pay close attention to trading in non-securities. Especially in recent years, some of the most important enforcement events have far from public equity exchanges.","The First Insider Trader in Commodities Those interested in insider trading should pay close attention to trading in non-securities. Especially in recent years, some of the most important enforcement events have far from public equity exchanges."
Tech,Behind Groupon's $6 Billion Brushoff,"If you believe the rumored numbers, it would have been the biggest acquisition in Internet history--and you definitely should","Behind Groupon's $6 Billion Brushoff If you believe the rumored numbers, it would have been the biggest acquisition in Internet history--and you definitely should"
Sports,Everyone Is Acting Like They Beat Ronda Rousey,You didn't beat Ronda Rousey. Holly Holm did. Stop gloating.,Everyone Is Acting Like They Beat Ronda Rousey You didn't beat Ronda Rousey. Holly Holm did. Stop gloating.
Sports,Dikembe Mutombo Swears There's No NBA Draft Lottery Conspiracy,Nobody believes him though.,Dikembe Mutombo Swears There's No NBA Draft Lottery Conspiracy Nobody believes him though.
Politics,The Islamic State Is Obama's Rubik's Cube,"Obama officials used to be fond of saying that, in Afghanistan, ""we will know success when we see it."" So, too, with IS.  Unfortunately, our angle of vision may be a supine one.","The Islamic State Is Obama's Rubik's Cube Obama officials used to be fond of saying that, in Afghanistan, ""we will know success when we see it."" So, too, with IS.  Unfortunately, our angle of vision may be a supine one."
